[#| 2020-10-14 22:20:33.949 | TRACE | Core-LanDevice | SrcIp=192.168.0.102:1800 -> DstIp=192.168.0.100:3802, HTTP, Rst=0 |#]
[#| 2020-10-14 22:20:34.206 | TRACE | Core-ResourceInfo | С ресурса 192.168.0.102 получены данные о загрузке процессора: 0,0% |#]
[#| 2020-10-14 22:20:34.518 | TRACE | Core-ResourceInfo | Начата попытка подключения к ресурсу: 192.168.0.100 |#]
[#| 2020-10-14 22:20:34.519 | TRACE | Core-ResourceInfo | Подключение к ресурсу 192.168.0.100 не выполнялось |#]
[#| 2020-10-14 22:20:34.545 | TRACE | Core-ResourceInfo | С ресурса 192.168.0.100 получены данные о памяти: Занято: 6,2Гб (50,1%) |#]
[#| 2020-10-14 22:20:34.843 | TRACE | Core-ResourceInfo | С ресурса 192.168.0.100 получены данные о загрузке процессора: 7,0% |#]
[#| 2020-10-14 22:20:34.857 | TRACE | Core-ResourceInfo | Начата попытка подключения к ресурсу: 192.168.0.102 |#]
[#| 2020-10-14 22:20:34.909 | TRACE | Core-ResourceInfo | Подключение к ресурсу 192.168.0.102 выполнено |#]
[#| 2020-10-14 22:20:34.958 | TRACE | Core-ResourceInfo | С ресурса 192.168.0.102 получены данные о памяти: Занято: 3,9Гб (23,1%) |#]
[#| 2020-10-14 22:20:35.206 | TRACE | Core-ResourceInfo | Начата попытка подключения к ресурсу: 192.168.0.102 |#]
[#| 2020-10-14 22:20:35.253 | TRACE | Core-ResourceInfo | Подключение к ресурсу 192.168.0.102 выполнено |#]
[#| 2020-10-14 22:20:35.268 | TRACE | Core-ResourceInfo | С ресурса 192.168.0.102 получены данные о загрузке процессора: 2,0% |#]
[#| 2020-10-14 22:20:35.288 | TRACE | Core-ResourceInfo | С ресурса 192.168.0.102 получены данные о памяти: Занято: 3,9Гб (23,1%) |#]
[#| 2020-10-14 22:20:35.601 | TRACE | Core-ResourceInfo | С ресурса 192.168.0.102 получены данные о загрузке процессора: 4,0% |#]
[#| 2020-10-14 22:20:35.749 | TRACE | Core-LanDevice | SrcIp=192.168.0.102:1800 -> DstIp=192.168.0.100:3802, HTTP, Rst=0 |#]
[#| 2020-10-14 22:20:35.793 | TRACE | Core-LanDevice | SrcIp=192.168.0.102:1800 -> DstIp=192.168.0.100:3802, HTTP, Rst=0 |#]
[#| 2020-10-14 22:20:35.794 | TRACE | Core-LanDevice | SrcIp=192.168.0.102:1800 -> DstIp=192.168.0.100:3802, HTTP, Rst=0 |#]
[#| 2020-10-14 22:20:35.843 | TRACE | Core-ResourceInfo | Начата попытка подключения к ресурсу: 192.168.0.100 |#]
[#| 2020-10-14 22:20:35.843 | TRACE | Core-ResourceInfo | Подключение к ресурсу 192.168.0.100 не выполнялось |#]
[#| 2020-10-14 22:20:35.855 | TRACE | Core-ResourceInfo | С ресурса 192.168.0.100 получены данные о памяти: Занято: 6,2Гб (50,2%) |#]
[#| 2020-10-14 22:20:36.124 | TRACE | Core-ResourceInfo | С ресурса 192.168.0.100 получены данные о загрузке процессора: 7,0% |#]
[#| 2020-10-14 22:20:36.268 | TRACE | Core-ResourceInfo | Начата попытка подключения к ресурсу: 192.168.0.102 |#]
[#| 2020-10-14 22:20:36.326 | TRACE | Core-ResourceInfo | Подключение к ресурсу 192.168.0.102 выполнено |#]
[#| 2020-10-14 22:20:36.392 | TRACE | Core-ResourceInfo | С ресурса 192.168.0.102 получены данные о памяти: Занято: 3,9Гб (23,1%) |#]
[#| 2020-10-14 22:20:36.601 | TRACE | Core-ResourceInfo | Начата попытка подключения к ресурсу: 192.168.0.102 |#]
[#| 2020-10-14 22:20:36.652 | TRACE | Core-ResourceInfo | Подключение к ресурсу 192.168.0.102 выполнено |#]
[#| 2020-10-14 22:20:36.699 | TRACE | Core-ResourceInfo | С ресурса 192.168.0.102 получены данные о загрузке процессора: 2,0% |#]
[#| 2020-10-14 22:20:36.702 | TRACE | Core-ResourceInfo | С ресурса 192.168.0.102 получены данные о памяти: Занято: 3,9Гб (23,1%) |#]
[#| 2020-10-14 22:20:37.018 | TRACE | Core-ResourceInfo | С ресурса 192.168.0.102 получены данные о загрузке процессора: 1,0% |#]
[#| 2020-10-14 22:20:37.125 | TRACE | Core-ResourceInfo | Начата попытка подключения к ресурсу: 192.168.0.100 |#]
[#| 2020-10-14 22:20:37.127 | TRACE | Core-ResourceInfo | Подключение к ресурсу 192.168.0.100 не выполнялось |#]
[#| 2020-10-14 22:20:37.152 | TRACE | Core-ResourceInfo | С ресурса 192.168.0.100 получены данные о памяти: Занято: 6,2Гб (50,2%) |#]
[#| 2020-10-14 22:20:37.453 | TRACE | Core-ResourceInfo | С ресурса 192.168.0.100 получены данные о загрузке процессора: 11,0% |#]
[#| 2020-10-14 22:20:37.700 | TRACE | Core-ResourceInfo | Начата попытка подключения к ресурсу: 192.168.0.102 |#]
[#| 2020-10-14 22:20:37.727 | TRACE | Core-ResourceInfo | Подключение к ресурсу 192.168.0.102 выполнено |#]
[#| 2020-10-14 22:20:37.755 | TRACE | Core-ResourceInfo | С ресурса 192.168.0.102 получены данные о памяти: Занято: 3,9Гб (23,1%) |#]
[#| 2020-10-14 22:20:37.849 | TRACE | Core-LanDevice | SrcIp=192.168.0.102:1800 -> DstIp=192.168.0.100:3802, HTTP, Rst=0 |#]
